order_item_id,order_id,product_id,quantity,unit_price
1,1,11,1,59.99
2,2,3,2,299.99
3,2,5,4,39.99
4,3,10,1,24.99
5,3,9,2,79.99
6,3,20,5,5.99
7,4,23,1,8.99
8,4,2,3,89.99
9,4,17,5,55.0
10,4,12,2,149.99
11,5,3,3,299.99
12,5,17,3,55.0
13,6,15,1,7.99
14,6,2,2,89.99
15,6,20,3,5.99
16,7,16,3,15.99
17,7,22,4,50.99
18,7,7,1,19.99
19,7,6,2,39.99
20,7,10,2,24.99
21,8,3,3,299.99
22,8,5,4,39.99
23,8,7,5,19.99
24,8,9,4,79.99
25,8,13,4,89.99
26,9,15,2,7.99
27,9,17,3,55.0
28,10,21,1,13.99
29,10,1,4,29.99
30,10,15,5,7.99
31,10,22,4,50.99
32,11,22,2,50.99
33,12,3,5,299.99
34,13,18,1,3.99
35,13,10,1,24.99
36,14,2,2,89.99
37,15,5,5,39.99
38,15,3,1,299.99
39,16,21,1,13.99
40,16,8,5,9.99
41,16,18,4,3.99
42,16,7,2,19.99
43,17,3,2,299.99
44,17,7,5,19.99
45,17,17,4,55.0
46,18,1,3,29.99
47,18,21,2,13.99
48,18,17,3,55.0
49,18,20,4,5.99
50,18,2,4,89.99
51,19,9,3,79.99
52,19,11,1,59.99
53,19,17,3,55.0
54,20,12,5,149.99
55,20,23,2,8.99
56,20,16,3,15.99
57,21,19,4,5.99
58,21,17,3,55.0
59,21,10,4,24.99
60,22,12,3,149.99
61,22,1,3,29.99
62,22,23,5,8.99
63,23,13,5,89.99
64,23,22,5,50.99
65,24,12,5,149.99
66,25,23,3,8.99
67,25,6,1,39.99
68,25,20,2,5.99
69,25,18,3,3.99
70,25,7,1,19.99
71,26,3,5,299.99
72,27,12,1,149.99
73,27,15,5,7.99
74,27,1,2,29.99
75,27,17,5,55.0
76,28,4,5,49.99
77,29,2,5,89.99
78,29,1,4,29.99
79,30,20,5,5.99
80,30,23,3,8.99
81,30,13,4,89.99
82,30,12,4,149.99
83,30,7,1,19.99
84,31,2,5,89.99
85,31,6,3,39.99
86,31,23,4,8.99
87,32,2,1,89.99
88,32,13,1,89.99
89,32,6,2,39.99
90,32,9,2,79.99
91,33,15,4,7.99
92,33,20,1,5.99
93,34,10,4,24.99
94,34,15,1,7.99
95,34,2,4,89.99
96,35,5,4,39.99
97,36,21,3,13.99
98,37,15,5,7.99
99,37,2,3,89.99
100,37,5,4,39.99
101,37,22,3,50.99
102,38,5,2,39.99
103,38,21,4,13.99
104,39,16,4,15.99
105,39,18,1,3.99
106,39,22,1,50.99
107,39,14,3,10.0
108,39,6,4,39.99
109,40,2,4,89.99
110,40,10,5,24.99
111,40,20,1,5.99
112,40,12,3,149.99
113,41,8,4,9.99
114,41,11,2,59.99
115,42,7,3,19.99
116,42,13,4,89.99
117,42,11,3,59.99
118,42,3,5,299.99
119,42,15,5,7.99
120,43,5,2,39.99
121,43,13,1,89.99
122,43,18,1,3.99
123,43,21,1,13.99
124,43,9,3,79.99
125,44,19,3,5.99
126,44,23,3,8.99
127,44,9,2,79.99
128,44,4,1,49.99
129,45,8,2,9.99
130,46,10,5,24.99
131,46,15,1,7.99
132,46,3,1,299.99
133,46,5,5,39.99
134,46,13,3,89.99
135,47,23,2,8.99
136,47,14,1,10.0
137,47,12,3,149.99
138,47,19,4,5.99
139,48,20,5,5.99
140,48,23,1,8.99
141,49,13,5,89.99
142,50,19,1,5.99
143,50,4,2,49.99
144,50,9,4,79.99
145,50,13,3,89.99
146,50,20,4,5.99
147,51,7,2,19.99
148,51,15,5,7.99
149,51,5,5,39.99
150,51,14,1,10.0
151,52,19,3,5.99
152,52,15,4,7.99
153,52,20,3,5.99
154,52,9,5,79.99
155,53,20,1,5.99
156,53,13,4,89.99
157,53,7,2,19.99
158,53,18,3,3.99
159,53,10,2,24.99
160,54,12,4,149.99
161,55,17,2,55.0
162,55,9,3,79.99
163,55,19,3,5.99
164,55,3,3,299.99
165,56,6,4,39.99
166,56,20,4,5.99
167,56,9,4,79.99
168,56,2,5,89.99
169,57,10,3,24.99
170,57,4,4,49.99
171,58,16,3,15.99
172,59,23,4,8.99
173,59,17,1,55.0
174,59,16,2,15.99
175,60,17,5,55.0
176,60,11,5,59.99
177,60,13,1,89.99
178,60,23,1,8.99
179,60,4,5,49.99
180,61,9,2,79.99
181,61,14,5,10.0
182,62,12,2,149.99
183,62,8,2,9.99
184,62,13,1,89.99
185,62,15,2,7.99
186,62,10,1,24.99
187,63,17,2,55.0
188,63,4,4,49.99
189,63,13,5,89.99
190,63,9,2,79.99
191,63,21,4,13.99
192,64,23,4,8.99
193,65,7,5,19.99
194,65,4,1,49.99
195,66,6,5,39.99
196,66,20,3,5.99
197,66,14,3,10.0
198,67,1,2,29.99
199,68,4,1,49.99
200,68,7,3,19.99
201,68,19,2,5.99
202,69,12,5,149.99
203,69,23,5,8.99
204,69,6,4,39.99
205,69,8,4,9.99
206,69,2,1,89.99
207,70,22,5,50.99
208,70,4,4,49.99
209,71,14,5,10.0
210,71,19,4,5.99
211,72,1,2,29.99
212,73,5,4,39.99
213,73,22,4,50.99
214,74,23,5,8.99
215,75,10,2,24.99
216,75,2,1,89.99
217,75,9,4,79.99
218,75,18,5,3.99
219,76,20,5,5.99
220,77,15,3,7.99
221,78,19,2,5.99
222,79,18,2,3.99
223,79,15,5,7.99
224,80,5,3,39.99
225,80,16,4,15.99
226,80,15,4,7.99
227,80,6,1,39.99
228,80,17,5,55.0
229,81,20,5,5.99
230,81,21,4,13.99
231,81,1,4,29.99
232,81,5,3,39.99
233,81,10,5,24.99
234,82,21,5,13.99
235,82,12,3,149.99
236,83,13,2,89.99
237,83,6,1,39.99
238,83,9,1,79.99
239,83,20,1,5.99
240,84,7,3,19.99
241,84,13,3,89.99
242,84,12,2,149.99
243,85,11,1,59.99
244,85,13,2,89.99
245,85,5,4,39.99
246,85,17,2,55.0
247,85,7,5,19.99
248,86,15,1,7.99
249,86,9,4,79.99
250,86,22,4,50.99
251,86,6,5,39.99
252,86,1,1,29.99
253,87,14,5,10.0
254,87,23,5,8.99
255,88,19,2,5.99
256,88,9,2,79.99
257,88,2,1,89.99
258,89,23,3,8.99
259,89,21,4,13.99
260,90,8,4,9.99
261,90,18,4,3.99
262,90,22,5,50.99
263,91,8,4,9.99
264,91,20,4,5.99
265,91,23,4,8.99
266,91,12,5,149.99
267,91,17,1,55.0
268,92,9,5,79.99
269,92,20,2,5.99
270,92,11,1,59.99
271,92,19,1,5.99
272,93,13,4,89.99
273,93,16,4,15.99
274,93,14,3,10.0
275,93,6,5,39.99
276,94,20,3,5.99
277,94,16,4,15.99
278,94,3,1,299.99
279,94,7,2,19.99
280,95,14,3,10.0
281,95,21,1,13.99
282,95,10,3,24.99
283,95,2,5,89.99
284,95,3,1,299.99
285,96,5,5,39.99
286,96,19,3,5.99
287,96,16,4,15.99
288,96,10,5,24.99
289,96,14,5,10.0
290,97,15,4,7.99
291,97,1,1,29.99
292,97,9,5,79.99
293,97,11,3,59.99
294,98,15,5,7.99
295,98,23,3,8.99
296,98,8,5,9.99
297,98,19,4,5.99
298,98,20,2,5.99
299,99,7,4,19.99
300,100,10,4,24.99
